"position","videoId","seen","published","title","description"
"91","ezdgY3PhNfU","False","11/12/2011 1:11:36 PM +00:00","Школа волшебства 2 сезон №3 (Во дворе)","В этом выпуске Вы узнаете:. 1. Как соединить две верёвки в одну. 2. Как угадать серийный номер купюры вашего зрителя. 3. Как заставить монету проникнуть сквозь диск. Также Вы увидите фокус с кубик рубика. Смотреть все выпуски в группе Школы Волшебства http://vkontakte.ru/club19771350"
"90","ZeDpwgXxj34","False","11/12/2011 4:18:44 PM +00:00","Школа волшебства 2 сезон №4 (Настольные игры)","В этом выпуске Вы узнаете:. 1. Как предсказать число фигурки от домино. 2. Как заставить пазл проникнуть сквозь руку и встать на своё место. 3. Как фигурка от шахмат проходит сквозь платок. Также Вы увидите невероятный фокус с картами. Смотреть все выпуски в группе Школы Волшебства http://vkontakte.ru/club19771350"
"89","n1xddJ2Vc2Y","False","11/13/2011 6:43:41 AM +00:00","Школа волшебства 2 сезон №5 (В летнем лагере)","В этом выпуске Вы узнаете:. 1. Как оригинально найти тузов в колоде;. 2. Как монета проходит сквозь пробку банки;. 3. Как предсказать игральные кости. Также Вы увидите невероятный танцующий платок. Смотреть все выпуски в Группе Школы Волшебства http://vkontakte.ru/club19771350"
"88","hF9WlB5_XMw","False","11/13/2011 7:40:20 AM +00:00","Школа волшебства 2 сезон №6 (Исчезновение предметов)","В этом выпуске Вы узнаете:. 1. Как заставить исчезнуть ручку в листке бумаги. 2. Как исчезает колода карт. Также Вы увидите фокус с купюрой и резинкой. Смотреть все выпуски в группе Школы Волшебства http://vkontakte.ru/club19771350"
"87","DwkJQwAXdbQ","False","11/13/2011 9:43:18 AM +00:00","Школа волшебства 2 сезон №7 (За завтраком)","В этом выпуске Вы узнаете:. 1. Как получить хлопья из пустой коробки. 2. Как размножать конфеты. Также Вы увидите проникновение купюры, подписанной зрителем, в мандарин. Смотреть все выпуски в Группе Школы Волшебства http://vkontakte.ru/club19771350"
"86","TMdIYqpOfBE","False","11/15/2011 5:46:36 AM +00:00","Школа волшебства 1 сезон №2 (Резинки)","Виртуальная школа, в которой волшебник учит искусству удивлять. В этом выпуске вы узнаете как:. 1. Резинка проходит сквозь палец и остается целой. 2. Освободиться от резинок, как Гари Гудини. 3. Силой мысли перемещать кольцо по резинке. P.S. Помните сменить качество картинки на 480, чтобы насладиться просмотром!. Группа Школа Волшебства Ильи Ларионова http://vkontakte.ru/club19771350"
"85","SPk076Dw6tA","False","11/15/2011 12:24:52 PM +00:00","Школа волшебства 1 сезон №3 (С папой в гараже)","Виртуальная школа, в которой волшебник Илья Ларионов учит искусству удивлять. В этом выпуске вы узнаете как:. 1. Разрезать и восстановить провод или веревку. 2. Невероятным образом надеть гайку на отвертку. 3. Пройти сквозь веревку. P.S. Помните сменить качество картинки на 480, чтобы насладиться просмотром!. Группа Школа Волшебства Ильи Ларионова http://vkontakte.ru/club19771350"
"84","56uJJZd6OL0","False","11/15/2011 1:56:36 PM +00:00","Школа волшебства 1 сезон №4 (На даче)","Виртуальная школа, в которой волшебник учит искусству удивлять. В этом выпуске вы узнаете как:. 1. Превратить лесной орех в виноград. 2. Волшебным образом переместить кольцо с одной булавки на другую. 3. Найти 4 тузов, не притрагиваясь к колоде карт. Группа Школа Волшебства Ильи Ларионова http://vkontakte.ru/club19771350"
"83","wk6xMJHZknQ","False","11/15/2011 4:34:12 PM +00:00","Школа волшебства 1 сезон №6 (Отдых на природе)","Виртуальная школа, в которой волшебник Илья Ларионов учит искусству удивлять. В этом выпуске вы узнаете как:. 1. Съесть пастилу на палочке, а потом заставить ее снова появиться. 2. Сделать сытный бутерброд, имея только хлеб. 3. Втереть фисташку в локоть, а после найти ее в конфете зрителя. Группа Школа Волшебства Ильи Ларионова http://vkontakte.ru/club19771350"
"82","tr8WHORS6zE","False","11/15/2011 4:54:28 PM +00:00","Школа волшебства 1 сезон №7 (Как завязать знакомство)","Виртуальная школа, в которой волшебник Илья Ларионов учит искусству удивлять. В этом выпуске вы узнаете как:. 1. Превратить 10 копеек в 10 рублей. 2. Использовать резинку для знакомства. 3. Пропустить конфету сквозь руку. Группа Школа Волшебства Ильи Ларионова http://vkontakte.ru/club19771350"
